,FE Model,FE Method,FE Layers,FE Layers Agg Method,FE Dataset,Test Dataset,Classifier,F1,Precision,Recall,Confusion Matrix,Timestamp
1,jhu-clsp/bernice,cls,,-,semeval2015_2,dev_set,LogisticRegression,[0.95402299 0.6       ],[0.91208791 1.        ],[1.         0.42857143],[[83  0] [ 8  6]],1726112363
2,jhu-clsp/bernice,cls,,-,semeval2015_2,dev_set,LogisticRegression,[0.95348837 0.63636364],[0.92134831 0.875     ],[0.98795181 0.5       ],[[82  1] [ 7  7]],1726112365
3,jhu-clsp/bernice,cls,,-,semeval2015_2,dev_set,LogisticRegression,[0.95348837 0.63636364],[0.92134831 0.875     ],[0.98795181 0.5       ],[[82  1] [ 7  7]],1726112367
4,jhu-clsp/bernice,cls,,-,semeval2015_paraphrased2,dev_set,LogisticRegression,[0.95348837 0.63636364],[0.92134831 0.875     ],[0.98795181 0.5       ],[[82  1] [ 7  7]],1726112380
5,jhu-clsp/bernice,cls,,-,semeval2015_2,dev_set,LogisticRegression,[0.95402299 0.6       ],[0.91208791 1.        ],[1.         0.42857143],[[83  0] [ 8  6]],1726112457
6,jhu-clsp/bernice,cls,,-,semeval2015_2,dev_set,LogisticRegression,[0.95294118 0.66666667],[0.93103448 0.8       ],[0.97590361 0.57142857],[[81  2] [ 6  8]],1726112459
7,jhu-clsp/bernice,cls,,-,semeval2015_2,dev_set,LogisticRegression,[0.94674556 0.64      ],[0.93023256 0.72727273],[0.96385542 0.57142857],[[80  3] [ 6  8]],1726112461
8,jhu-clsp/bernice,cls,,-,semeval2015_paraphrased2_1to4_selected,dev_set,LogisticRegression,[0.91764706 0.41666667],[0.89655172 0.5       ],[0.93975904 0.35714286],[[78  5] [ 9  5]],1726112473
9,jhu-clsp/bernice,cls,,-,semeval2016,dev_set,LogisticRegression,[0.80231335 0.93072955],[0.84309392 0.91521739],[0.76529589 0.94677661],[[ 763  234] [ 142 2526]],1726112764
10,jhu-clsp/bernice,cls,,-,semeval2016,dev_set,LogisticRegression,[0.80733036 0.92675579],[0.79745597 0.93113886],[0.81745236 0.92241379],[[ 815  182] [ 207 2461]],1726112787
11,jhu-clsp/bernice,cls,,-,semeval2016,dev_set,LogisticRegression,[0.80802005 0.92820993],[0.80761523 0.92838395],[0.80842528 0.92803598],[[ 806  191] [ 192 2476]],1726112809
12,jhu-clsp/bernice,cls,,-,semeval2016_paraphrased,dev_set,LogisticRegression,[0.85785536 0.94647887],[0.8531746  0.94843809],[0.86258776 0.94452774],[[ 860  137] [ 148 2520]],1726113800
13,jhu-clsp/bernice,cls,,-,semeval2016,dev_set,LogisticRegression,[0.81216803 0.92603156],[0.783054   0.93979159],[0.84353059 0.91266867],[[ 841  156] [ 233 2435]],1726113890
14,jhu-clsp/bernice,cls,,-,semeval2016,dev_set,LogisticRegression,[0.80700049 0.92471079],[0.78301887 0.93589251],[0.83249749 0.9137931 ],[[ 830  167] [ 230 2438]],1726113924
15,jhu-clsp/bernice,cls,,-,semeval2024,dev_set,LogisticRegression,[0.46666667 0.90588235],[0.56451613 0.87899543],[0.39772727 0.93446602],[[ 35  53] [ 27 385]],1726114140
16,jhu-clsp/bernice,cls,,-,semeval2024,dev_set,LogisticRegression,[0.51612903 0.88943489],[0.48979592 0.90049751],[0.54545455 0.87864078],[[ 48  40] [ 50 362]],1726114441
17,jhu-clsp/bernice,cls,,-,semeval2024,dev_set,LogisticRegression,[0.48087432 0.88372093],[0.46315789 0.89135802],[0.5        0.87621359],[[ 44  44] [ 51 361]],1726114470
18,jhu-clsp/bernice,cls,,-,paraphrase,dev_set,LogisticRegression,[0.53571429 0.90625   ],[0.5625     0.89761905],[0.51136364 0.91504854],[[ 45  43] [ 35 377]],1726114575
19,jhu-clsp/bernice,cls,,-,semeval2024,dev_set,LogisticRegression,[0.5        0.85897436],[0.41666667 0.91032609],[0.625     0.8131068],[[ 55  33] [ 77 335]],1726114662
20,jhu-clsp/bernice,cls,,-,semeval2024,dev_set,LogisticRegression,[0.50458716 0.86189258],[0.42307692 0.91081081],[0.625      0.81796117],[[ 55  33] [ 75 337]],1726114700
21,jhu-clsp/bernice,cls,,-,paraphrase4,dev_set,LogisticRegression,[0.51764706 0.90120482],[0.53658537 0.89473684],[0.5        0.90776699],[[ 44  44] [ 38 374]],1726114817
