,original_text,paraphrase
0,PAING PHYO MIN IS FREE!,FREEDOM FOR PAING PHYO MIN!
1,"Move your ships away!\n\noooook\n\nMove your ships away!\n\nNo, and I just added 10 more","""Get those vessels outta here!\n\nA'right, cap'n...\n\nI said scram with your ships!\n\nNah, and I threw in a few more just 'cause. Now beat it!"""
2,PUTIN'S SECRET CAMOUFLAGE ARMY,Vlad's Hidden Green Army
3,Nicola Sturgeon\n\nWE'RE SCOTTISH GETUSOUTOFHERE!\n\nWill his bushtucker trial involve skydiving into the jungle without the appropriate PPE,"Nicola Sturgeon 

WE'RE SCOTTISH, GET US OOT OF HERE! 

Will the lad's bushtucker trial have him skydiving intae the jungle with nae proper gear?"
4,I saw a movie once where only the police and military had guns.\n\nIt was called Schindler's List.,I remember a movie where only the good guys had guns... it was called *Schindler's List*.
5,ARE YOU A FAN OF THIS COUPLE?,"""IS THIS SHIP SAILING FOR YOU?"""
6,DEMOCRATIC PARTY MIDTERM STRATEGY SESSION!,"""STRATEGIZIN' FOR THE MIDTERMS: DEMOCRAT EDITION!! LET'S GET READY TO RUMBLE!!"
7,LEFT\n\nRIGHT\n\nAUTHORITARIANISM,"LEFT <---

RIGHT --->

<--- AUTHORITARIANISM -->>"
8,UNMASKED,UNVEILED
9,BUT BUT BUT...\n\nI TYPED TRUMP 2020 ON SO MANY FACEBOOK POSTS!,"BUT BUT BUT...

I SPENT SO MUCH TIME CAPS LOCKING 'TRUMP 2020' ON FACEBOOK, THIS CAN'T BE RIGHT!"
10,A Simple IQ Test\n\nCan you spot the pattern?\n\nUnemployment and the White House\nSeasonally adjusted unemployment rate from start to end of each administration\n\n~62 million voters failed this test in November,"A Not-So-Difficult IQ Test

Can you crack the code? 

Unemployment and the White House: A Tale

The plot twist: ~62 million voters couldn't decipher this in November

[Chart]: Seasonally adjusted unemployment rate from the beginning to the end of each administration"
11,"Nothing wrong here, just another day in Russia\n","""Just a typical day in Russia, nothing out of the ordinary here, comrades."""
12,"Reopening Soon\n\nUnder New Management\n\nJanuary 20, 2021\n","Reopening Soon-ish

*Under* Brand *New* Management

*Maybe* January 20, 2021...?"
13,THIS IS THE DIFFERENCE\n\nBETWEEN 1.4% GDP\n\nAND 4.1% GDP,"""THIS IS WHAT SEPARATES

THE 1.4% GDP

FROM THE 4.1% GDP"""
14,First place \nSecond place,Winners and...um...Other Winners
15,COMING SOON\n\n4 MORE YEARS,"COMING SOON...

BACK FOR ROUND 2"
16,THAT ODD FAKE LAUGH YOU USE WHEN YOU KNOW YOUR ENEMY DOESN'T FEAR YOU\n\nAT LEAST HE WILL TOLERATE YOU BECAUSE HE KNOWS THE CHINESE OWN YOU,"""THAT WEIRD, FAKE CHUCKLE YOU PULL OUT WHEN YOU KNOW FULL WELL YOUR RIVAL DOESN'T GIVE A HOOT ABOUT YOU\n\nMAYBE HE'LL PUT UP WITH YOU OUT OF PITY, KNOWING CHINA'S GOT YOU ON A LEASH"""
17,CUTS?\n\nCUTS!,"Scars?

SCARS AND SCRAPES!"
18,When a religious person says \don't believe everything you read\,"When a religious person says, ""Don't believe everything you preach."""
19,Look at all the \health food\ to support his heart....\nDon't worry about WHY he had a heart attack either...\n \His first meal in 4 days since coming out of a comma as a result of his mini heart attack. So thankful he's vaccinated with all of the sick people in this place\,"Look at all the *healthy food* to get his ticker going... 
No need to question *why* he had the heart attack...
His first meal after being out of the *coma, thanks to his minor heart attack*. So grateful he got his shots, with all these ill folks around!"
20,Russia\n\nUkraine\n\nMalawi,"The Motherland, Russia

*Babushka* shakes her head at the shenanigans of her neighbors:

Ukraine, so close yet so far

And the distant cousin, Malawi, saying hello!"
21,"\Come on, Larry. Time to meet the new PM\","""Alright, Larry, let's go! We've got a date with the new PM!"""
22,"BREAKING!\n\n1,825,000 CALIFORNIANS HAVE HAD ENOUGH","BREAKING! 

Nearly 2 MILLION CALIFORNIANS say ""WE'VE HAD ENOUGH!"""
23,BOTH OF THESE GUYS\n\nSUPPORTED THE CLINTON ASSAULT WEAPON BAN,"""THESE TWO DUDES \n\n WERE DOWN WITH CLINTON'S ASSAULT WEAPON BAN"""
24,I LIKE BUSINESSMEN\n\nTHAT DONT DECLARE BANKRUPTCY REPEATEDLY,"I APPRECIATE ENTREPRENEURS

WHO DON'T MAKE A HABIT OF FILING FOR BANKRUPTCY"
25,people who fall for every right/left psyop on TV\n\npeople who understand Central Banking and Agenda 2030,"People who believe everything the TV tells them #Right #Left

Vs.

People who get the Central Banking and Agenda 2030 vibes"
26,Somebody tell Trump\n\nObama found ices,"Yo, Trump, listen up!

Obama discovered some ices, bro!"
27,ARCHAEOLOGISTS DISCOVER LOST BAYEUX TAPESTRY OF CRIMEA BRIDGE,Diggers Unearth Elusive 'Crimean Connection' Tapestry
28,ISN'T IT NICE TO HAVE A PRESIDENT\n\nWHO IS NOT ASHAMED TO PRAY?,"ISN'T IT REFRESHING TO HAVE A PRESIDENT

WHO LEADS THE NATION IN PRAYER, NOT AWAY FROM IT?"
29,IF THIS BIRD WAS COVERED WITH OIL THIS PICTURE WOULD BE EVERYWHERE,"If this bird got oiled up, the pic would go viral."
30,BREAKING NEWS\n\nTHATCHER IS DEAD,BREAKING: THATCHER KICKS THE BUCKET
31,When the only place you can find a specific leftist book is on Amazon,The struggle is real when that one leftist book you need is only available on Jeff Bezos' bookshelf.
32,I SUPPORT UKRAINE\n\nBUT,"I BACK UKRAINE

HOWEVER"
33,THIS IS ME\n\nWAKING UP AND REMEMBERING TRUMP IS NOT PRESIDENT,"THIS IS ME

WAKING UP, BREATHING, AND REMEMBERING THAT TRUMP IS NO LONGER IN OFFICE"
34,THANKS for your GIVING,TY for ur generosity
35,WE HEARD THEY PASSED A LAW\n\nWHERE DO WE TURN THESE IN?\n\nSTATIST FANTASY,"We just got word, there's a new law...

WHERE IS THE DROPOFF POINT FOR THESE THINGS?

Statist Fantasy, am I right?"
36,R.I.P. RACISM\n2016-2020,"Rest in Pieces: Racism
(2016-2020)"
37,I LOST,I MISPLACED
38,"CO: \you following this Ukraine stuff?\\nMe: \yes sir, been doing some research.\\nCO: \Find anything interesting?\\n\nMy research:\nFemale Ukrainian troops","CO: You keeping up with the Ukraine drama?

Me: Yes, sir. I've been doing some digging.

CO: Any juicy findings?

Me: Well, sir, I've been looking into the female Ukrainian troops and—

CO: Oh yeah? Do tell."
39,Operation Z\n\nOperation Ctrl+Z,"Operation Oops, I Messed Up

Operation Ctrl+Z to the Rescue"
40,DEMOCRATS FOR TRUMP,DEMO-TRUMP-CRATS
41,BOYCOTT,"""NO, THANK YOU. I'M GOOD. ABSOLUTELY NOT. NO WAY, JOSÉ!"""
