,original_text,paraphrase
0,UNMASKED,UNCOVERED: The Truth Is Out There!
1,I LOST,i have lost :/
2,DEMOCRATS FOR TRUMP,MAGA Dems say: Deplorables 4 Trump
3,Khazi Kwarteng,Khaaaaaaazy Keeeeeewrrteng!
4,"Garfield, nooooooooooo","Oh, sweet lasagna, what have you done, Garfield?!"
5,NOBEL PRIZE\nIMPEACHED\n,"""Nobel Prize: The Ultimate Accolade
Impeached: The Fall From Grace"""
6,ONE IN THE SAME!,"A single entity, a united front: ""ONE AND THE SAME,"" they say!"
7,NOT GUILTY ON ALL CHARGES,INNOCENT ACROSS THE BOARD!
8,HAPPY OYSTER!,Jolly Bivalve!
9,HA - HA,Hee-hee!
10,WHAT IF...,"""Imagine if..."""
11,MINES\n\nMITES\n,MINETTES
12,UKRAINE,u Kr A1n3
13,Ukraine\n\nPutin,Putin\n\nUkraine?
14,This is Florida!,Florida Man strikes again!
15,I'M WITH THEM\n,I STAN
16,TOUCHHARD\nJOE,"TOUCHHARD-ER

JOE MAMA"
17,MoneyPox,"DollaDolla Bills, y'all! 

MoneyPox is spreading faster than a wildfire in a dry forest! This contagious cash-fever is leaving everyone with a serious case of the big spendies! It's like a money-making machine, gone wild! 

Get your financial vaccines ready, folks, 'cause this here MoneyPox is a plague of prosperity that'll leave ya broke!"
18,НОРЕ\n,НОРИК
19,Martha's Vineyard,Marthizzle's Vin-YARRRR-d
20,PUT IN\n\nPUT OUT,"INPUT:  
OUTPUT:"
